;Symbol;medrv;bv;close_price;rv10;rsv_ss;open_time;nobs;rv5;bv_ss;rv5_ss;rv10_ss;open_to_close;close_time;rk_th2;rk_twoscale;open_price;rsv;rk_parzen
2000-01-03 00:00:00+00:00;.SPX;5.77E-05;0.000141046;1454.24;0.000164018;9.61E-05;83004;1554;0.000140815;0.000141046;0.000140815;0.000164018;-0.011601764;145959;0.000130157;0.000121732;1471.21;9.61E-05;0.000339926
2000-01-04 00:00:00+00:00;.SPX;6.70E-05;0.000173317;1399.02;0.00029482;0.000180063;83009;1564;0.000224131;0.000173317;0.000224131;0.00029482;-0.035101672;150000;0.000162226;0.000142321;1449;0.000180063;0.000215271
2000-01-05 00:00:00+00:00;.SPX;0.000141752;0.000302745;1402.09;0.000267164;0.000130848;83012;1552;0.000314282;0.000302745;0.000314282;0.000267164;0.00462522;150003;0.000239837;0.000219049;1395.62;0.000130848;0.000162765
2000-01-06 00:00:00+00:00;.SPX;7.01E-05;0.000128444;1403.06;0.000115;5.57E-05;83005;1561;0.00013081;0.000128444;0.00013081;0.000115;0.002990798;145954;0.000132232;0.000126587;1398.87;5.57E-05;6.66E-05
2000-01-07 00:00:00+00:00;.SPX;4.93E-05;7.87E-05;1440.84;0.00012146;2.31E-05;83000;1540;9.36E-05;7.87E-05;9.36E-05;0.00012146;0.026292786;150000;9.49E-05;9.09E-05;1403.45;2.31E-05;0.000215485
2000-01-10 00:00:00+00:00;.SPX;6.75E-05;0.000135749;1456.84;0.000118612;3.44E-05;83006;1573;0.000120213;0.000135749;0.000120213;0.000118612;0.01060628;145956;0.000112111;0.000105645;1441.47;3.44E-05;0.000211972
2000-01-11 00:00:00+00:00;.SPX;4.66E-05;6.81E-05;1438.33;6.86E-05;4.67E-05;83009;1523;6.81E-05;6.81E-05;6.81E-05;6.86E-05;-0.012615369;145953;7.45E-05;7.23E-05;1456.59;4.67E-05;6.86E-05
2000-01-12 00:00:00+00:00;.SPX;9.61E-05;0.000113253;1431.99;0.000108399;6.67E-05;83001;1549;0.000123002;0.000113253;0.000123002;0.000108399;-0.004577528;145949;0.000114585;0.000110664;1438.56;6.67E-05;6.90E-05
2000-01-13 00:00:00+00:00;.SPX;2.75E-05;5.49E-05;1449.87;0.000103631;2.41E-05;83000;1539;0.000101328;5.49E-05;0.000101328;0.000103631;0.012227263;145958;9.08E-05;8.62E-05;1432.25;2.41E-05;6.07E-05
2000-01-14 00:00:00+00:00;.SPX;3.93E-05;9.21E-05;1463.86;0.000181629;3.15E-05;83001;1572;0.0001393;9.21E-05;0.0001393;0.000181629;0.00973394;145946;8.98E-05;8.09E-05;1449.68;3.15E-05;0.000157183
2000-01-18 00:00:00+00:00;.SPX;2.20E-05;8.13E-05;1455.41;0.000126738;6.50E-05;83002;1544;9.27E-05;8.13E-05;9.27E-05;0.000126738;-0.006669978;145954;7.56E-05;7.21E-05;1465.15;6.50E-05;7.27E-05
2000-01-19 00:00:00+00:00;.SPX;1.84E-05;3.67E-05;1455.71;5.90E-05;2.66E-05;83008;1539;4.91E-05;3.67E-05;4.91E-05;5.90E-05;0.002558725;150007;5.12E-05;5.00E-05;1451.99;2.66E-05;4.33E-05
2000-01-20 00:00:00+00:00;.SPX;4.57E-05;0.000104863;1444.96;0.000147368;6.60E-05;83003;1536;0.00012966;0.000104863;0.00012966;0.000147368;-0.007542627;150003;0.000110143;0.000106538;1455.9;6.60E-05;0.000122478
2000-01-21 00:00:00+00:00;.SPX;2.88E-05;5.28E-05;1440.66;5.51E-05;3.11E-05;83009;1538;5.03E-05;5.28E-05;5.03E-05;5.51E-05;-0.0056826;150009;5.20E-05;4.99E-05;1448.87;3.11E-05;3.32E-05
2000-01-24 00:00:00+00:00;.SPX;8.39E-05;0.000177634;1400.59;0.000217638;0.000131428;83013;1546;0.000189534;0.000177634;0.000189534;0.000217638;-0.03077274;150004;0.000146922;0.000133309;1444.36;0.000131428;0.000333549
2000-01-25 00:00:00+00:00;.SPX;0.000134078;0.00016005;1409.51;0.000189462;6.59E-05;83000;1550;0.000175694;0.00016005;0.000175694;0.000189462;0.005677629;145947;0.00015499;0.000141987;1401.53;6.59E-05;0.000144251
2000-01-26 00:00:00+00:00;.SPX;3.19E-05;6.63E-05;1404.37;6.07E-05;3.87E-05;83013;1535;6.99E-05;6.63E-05;6.99E-05;6.07E-05;-0.001956259;150013;7.56E-05;7.47E-05;1407.12;3.87E-05;5.03E-05
2000-01-27 00:00:00+00:00;.SPX;6.87E-05;0.000150808;1398.84;0.000217021;0.000104697;83002;1538;0.000187655;0.000150808;0.000187655;0.000217021;-0.003746084;150001;0.000142912;0.000134298;1404.09;0.000104697;0.000307876
2000-01-28 00:00:00+00:00;.SPX;0.000134874;0.000263285;1362.02;0.000367271;0.000175694;83010;1540;0.000278108;0.000263285;0.000278108;0.000367271;-0.0258806;150009;0.000225909;0.000205161;1397.73;0.000175694;0.000235794
2000-01-31 00:00:00+00:00;.SPX;0.000132719;0.000192294;1393.34;0.0002037;5.56E-05;83008;1541;0.000189149;0.000192294;0.000189149;0.0002037;0.024417592;150007;0.000180142;0.000169676;1359.73;5.56E-05;0.000350777
2000-02-01 00:00:00+00:00;.SPX;4.48E-05;0.000104378;1408.92;0.00010489;4.74E-05;83005;1538;0.000116687;0.000104378;0.000116687;0.00010489;0.009893197;145950;0.000121371;0.000119353;1395.05;4.74E-05;8.90E-05
2000-02-02 00:00:00+00:00;.SPX;3.16E-05;9.44E-05;1409.25;9.73E-05;5.73E-05;83013;1539;9.42E-05;9.44E-05;9.42E-05;9.73E-05;0.00036196;150013;0.000151101;0.00014805;1408.74;5.73E-05;8.44E-05
2000-02-03 00:00:00+00:00;.SPX;0.000114866;0.000148599;1424.2;0.000188895;5.43E-05;83001;1541;0.000148094;0.000148599;0.000148094;0.000188895;0.010644856;150001;0.000135129;0.000129345;1409.12;5.43E-05;0.000173111
2000-02-04 00:00:00+00:00;.SPX;3.28E-05;5.50E-05;1424.43;8.85E-05;3.92E-05;83009;1541;6.75E-05;5.50E-05;6.75E-05;8.85E-05;-0.002145924;150009;6.83E-05;6.53E-05;1427.49;3.92E-05;6.84E-05
2000-02-07 00:00:00+00:00;.SPX;2.87E-05;6.09E-05;1424.27;5.62E-05;3.24E-05;83003;1549;6.02E-05;6.09E-05;6.02E-05;5.62E-05;-0.001227945;145954;6.90E-05;6.63E-05;1426.02;3.24E-05;6.05E-05
2000-02-08 00:00:00+00:00;.SPX;2.78E-05;6.42E-05;1440.9;0.000111093;1.88E-05;83007;1558;9.10E-05;6.42E-05;9.10E-05;0.000111093;0.01162958;145955;6.78E-05;6.05E-05;1424.24;1.88E-05;0.000121554
2000-02-09 00:00:00+00:00;.SPX;4.24E-05;9.92E-05;1412.47;0.000114162;6.99E-05;83024;1541;9.31E-05;9.92E-05;9.31E-05;0.000114162;-0.022042469;150023;0.00010451;0.000101299;1443.95;6.99E-05;0.000161444
2000-02-10 00:00:00+00:00;.SPX;4.93E-05;0.000114603;1415.98;0.000102399;5.60E-05;83007;1537;0.000116883;0.000114603;0.000116883;0.000102399;0.001604416;150006;0.000115994;0.000112413;1413.71;5.60E-05;7.58E-05
2000-02-11 00:00:00+00:00;.SPX;6.58E-05;0.000106075;1380.47;9.92E-05;7.99E-05;83015;1359;0.000102716;0.000106075;0.000102716;9.92E-05;-0.024818578;141726;0.000105689;9.93E-05;1415.16;7.99E-05;0.000191981
2000-02-14 00:00:00+00:00;.SPX;5.11E-05;9.28E-05;1389.72;8.89E-05;4.02E-05;83009;1541;9.38E-05;9.28E-05;9.38E-05;8.89E-05;-0.000251818;150009;9.63E-05;9.11E-05;1390.07;4.02E-05;6.84E-05
2000-02-15 00:00:00+00:00;.SPX;7.00E-05;0.000134672;1402.6;0.000142027;5.28E-05;83008;1540;0.000131203;0.000134672;0.000131203;0.000142027;0.009182196;145953;0.000115784;0.000108108;1389.78;5.28E-05;0.000148121
2000-02-16 00:00:00+00:00;.SPX;4.65E-05;7.66E-05;1387.71;9.15E-05;5.69E-05;83005;1545;8.87E-05;7.66E-05;8.87E-05;9.15E-05;-0.010223484;150005;0.000102977;9.94E-05;1401.97;5.69E-05;4.55E-05
2000-02-17 00:00:00+00:00;.SPX;5.81E-05;0.000147622;1387.29;0.000255752;8.97E-05;83001;1542;0.000182937;0.000147622;0.000182937;0.000255752;-0.000273878;145945;0.00015574;0.000162971;1387.67;8.97E-05;0.000104156
2000-02-18 00:00:00+00:00;.SPX;0.000108574;0.000160077;1348.23;0.000139615;0.000114012;83019;1541;0.000151008;0.000160077;0.000151008;0.000139615;-0.029157693;150019;0.000145267;0.000132209;1388.12;0.000114012;0.000189489
